Direction	Scheme	Target	Peer	BaseChain	TopRuleMatch	TopRuleAction	SecondBaseChain	SecondRuleMatch	SecondRuleAction	ThirdBaseChain	ThirdRuleMatch	ThirdRuleAction	FourthBaseChain	FourthRuleMatch	FourthRuleAction
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetLabel	PeerTenantSegment	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeLabelMatchDst	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetLabel	PeerTenantSegment	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeLabelMatchSrc	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeDstTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetLabel	PeerTenantSegment	firewall.ChainNameEndpointIngress	MakeLabelMatchDst	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetLabel	PeerTenantSegment	firewall.ChainNameEndpointEgress	MakeLabelMatchSrc	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeDstTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetTenant	PeerTenantSegment	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeDstTenantMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetTenant	PeerTenantSegment	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeSrcTenantMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeDstTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetTenant	PeerTenantSegment	firewall.ChainNameEndpointIngress	MakeDstTenantMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetTenant	PeerTenantSegment	firewall.ChainNameEndpointEgress	MakeSrcTenantMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeDstTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetTenantSegment	PeerTenant	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeDstTenantSegmentMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeSrcTenantMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetTenantSegment	PeerTenant	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeDstTenantMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetTenantSegment	PeerTenant	firewall.ChainNameEndpointIngress	MakeDstTenantSegmentMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeSrcTenantMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetTenantSegment	PeerTenant	firewall.ChainNameEndpointEgress	MakeSrcTenantSegmentMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeDstTenantMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetTenantSegment	PeerTenantSegment	firewall.ChainNameEndpointIngress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeDstTenantSegmentMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetTenantSegment	PeerTenantSegment	firewall.ChainNameEndpointEgress	MatchEndpoint("")	MakeRomanaPolicyName	MakeRomanaPolicyName	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameExtended	MakeRomanaPolicyNameExtended	MakeDstTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetTenantSegment	PeerTenantSegment	firewall.ChainNameEndpointIngress	MakeDstTenantSegmentMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetTenantSegment	PeerTenantSegment	firewall.ChainNameEndpointEgress	MakeSrcTenantSegmentMatch	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeDstTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	DROP
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetHost	PeerTenant	firewall.ChainNameHostToEndpoint	MatchEndpoint("")	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeSrcTenantMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetHost	PeerTenant	BaseChain											
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetHost	PeerTenant	firewall.ChainNameHostToEndpoint	MatchEndpoint("")	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeSrcTenantMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetHost	PeerTenant	BaseChain											
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetHost	PeerTenantSegment	firewall.ChainNameHostToEndpoint	MatchEndpoint("")	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetHost	PeerTenantSegment	BaseChain											
api.PolicyDirectionIngress	SchemeTargetOnTop	TargetHost	PeerTenantSegment	firewall.ChainNameHostToEndpoint	MatchEndpoint("")	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MakeSrcTenantSegmentMatch	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemeTargetOnTop	TargetHost	PeerTenantSegment	BaseChain											
api.PolicyDirectionIngress	SchemePolicyOnTop	TargetHost	PeerLocal	firewall.ChainNameHostToEndpoint	MatchEndpoint("")	MakeRomanaPolicyName	MatchPolicyString("")	MatchEndpoint("")	MatchPolicyString("")	MakeRomanaPolicyName	MatchEndpoint("")	MakeRomanaPolicyNameRules	MakeRomanaPolicyNameRules	MakePolicyRuleWithAction	ACCEPT
api.PolicyDirectionEgress	SchemePolicyOnTop	TargetHost	PeerLocal	BaseChain											
